,,,,Global,,,Building load,,Ground_Core_Zone,,,Ground_South,,,Ground_North,,,Ground_West,,,Ground_East,,,Ground_Perimeter,,,Middle_Core_Zone,,,Middle_South,,,Middle_North,,,Middle_West,,,Middle_East,,,Middle_Perimeter,,,Top_Core_Zone,,,Top_South,,,Top_North,,,Top_West,,,Top_East,,,Top_Perimeter,,,Input Matrix,,,Output Matrix,,,,,
Month,Day,Hour,Type,Outside dry-bulb temp (F),Direct normal solar rad (Btu/hr-ft2) (weather file),Total horiz solar rad (Btu/hr-ft2) (weather file),Building cool load (sensible),Building cool load (latent),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Load Calc'd SPACE Sensible load at const temp (Btu/hr),"Load Calc'd SPACE Latent load at const temp, excluding infil (Btu/hr)",Trial zone temp (if no heat/ooil activity) (deg F),Perimeter Sensible Load,Perimeter Latent Load,Trial perimeter zone temperature,T_out (in Celcius),q_solar,q_IHG,Ground T_c,Ground T_p,Middle T_c,Middle T_p,Top T_c,Top T_p
1,1,10,8,49,261,94,227144,0,61.1708,0,68.0454,15628,0,82.494,-2365.14,0,64.4042,-2787.22,0,64.4747,13875.8,0,79.0667,24351.44,0,72.6099,242.31,0,66.6945,14313.6,0,75.9793,-1871.55,0,64.4558,-2470.59,0,64.0122,13669.7,0,75.4041,23641.16,0,69.96285,242.31,0,64.28,14313.6,0,73.9419,-1871.55,0,62.3977,-2470.59,0,61.9736,13669.7,0,73.3665,23641.16,0,67.919925,9.44,325.72,0,20.03,22.56,19.27,21.09,17.93,19.96
1,1,11,8,54,286,145,346815,0,65.7906,0,69.8613,26881.5,0,94.7144,-342.44,0,66.9762,-779.838,0,67.0539,15380.9,0,83.1871,41140.122,0,77.9829,246.93,0,67.8166,26710.2,0,87.0047,230.245,0,66.5396,-437.015,0,66.0405,16310.8,0,79.689,42814.23,0,74.81845,246.93,0,65.3009,26710.2,0,84.8699,230.245,0,64.3824,-437.015,0,63.9012,16310.8,0,77.5533,42814.23,0,72.6767,12.22,338.49,0,21.03,25.55,19.90,23.79,18.50,22.60
1,1,12,8,57,297,179,361428,0,68.5625,0,71.9466,31134.2,0,101.288,902.575,0,69.3631,286.497,0,69.6779,9082.23,0,80.4852,41405.502,0,80.20355,249.702,0,69.7092,32229.2,0,94.4385,1697.39,0,69.0374,756.302,0,68.6109,10775.1,0,78.7721,45457.992,0,77.714725,249.702,0,67.1699,32229.2,0,92.3077,1697.39,0,66.8821,756.302,0,66.476,10775.1,0,76.6377,45457.992,0,75.575875,13.89,314.52,0,22.19,26.78,20.95,25.40,19.54,24.21
1,1,13,8,61,304,193,363091,0,72.2869,0,73.3605,32896.8,0,104.862,1898.13,0,71.216,1290.82,0,72.0033,4008.54,0,77.3462,40094.29,0,81.356875,253.426,0,71.426,35143.8,0,99.7608,2910.58,0,71.3551,1881.88,0,71.2108,5942.34,0,77.3117,45878.6,0,79.9096,253.426,0,69.0397,35143.8,0,97.7863,2910.58,0,69.3587,1881.88,0,69.2329,5942.34,0,75.3384,45878.6,0,77.929075,16.11,312.06,0,22.98,27.42,21.90,26.62,20.58,25.52
1,1,14,8,62,224,172,383937,0,73.2076,0,74.2955,29974.9,0,104.08,2791.99,0,72.7055,5698.5,0,76.7248,3353.16,0,77.0985,41818.55,0,82.6522,254.347,0,72.8604,33328.9,0,101.426,4003.71,0,73.4154,6218.68,0,75.7894,5057.91,0,77.7861,48609.2,0,82.104225,254.347,0,70.7647,33328.9,0,99.7149,4003.71,0,71.6837,6218.68,0,74.0748,5057.91,0,76.0757,48609.2,0,80.387275,16.67,337.9,0,23.50,28.14,22.70,27.84,21.54,26.88
1,1,15,8,63,49,103,314096,0,74.1284,0,75.1127,18477.5,0,95.8617,3086.07,0,73.8488,7370.47,0,79.3118,3130.86,0,77.1869,32064.9,0,81.5523,255.268,0,74.2105,22660.4,0,96.5071,4474.29,0,75.1504,8252.62,0,78.9712,4636.96,0,78.4166,40024.27,0,82.261325,255.268,0,72.4593,22660.4,0,95.0955,4474.29,0,73.7184,8252.62,0,77.5568,4636.96,0,77.0028,40024.27,0,80.843375,17.22,327.97,0,23.95,27.53,23.45,27.92,22.48,27.14
1,1,16,8,63,4,55,205581,0,74.1283,0,75.3058,9623.94,0,88.2048,2055.8,0,73.7425,4593.45,0,77.6792,2075.71,0,76.2749,18348.9,0,78.97535,255.268,0,75.1661,13518.2,0,91.0439,3567.66,0,75.8516,5949.38,0,78.8649,3446.33,0,78.2251,26481.57,0,80.996375,255.268,0,73.766,13518.2,0,89.9373,3567.66,0,74.7268,5949.38,0,77.7563,3446.33,0,77.1159,26481.57,0,79.884075,17.22,258.27,0,24.06,26.10,23.98,27.22,23.20,26.60
1,1,17,8,62,8,23,118400,0,73.2074,0,74.8571,5014.72,0,83.0571,429.878,0,72.4669,2213.93,0,75.4455,549.879,0,74.5883,8208.407,0,76.38945,254.347,0,75.4961,8059.06,0,86.7526,1935.22,0,75.3878,3707.12,0,77.8822,1775.49,0,77.1755,15476.89,0,79.299525,254.347,0,74.4387,8059.06,0,85.944,1935.22,0,74.5642,3707.12,0,77.0721,1775.49,0,76.3654,15476.89,0,78.486425,16.67,56.948,0,23.81,24.66,24.16,26.28,23.58,25.83
1,1,18,8,58,2,2,33334.7,0,69.5241,0,74.1356,1462.41,0,78.8802,-1458.48,0,70.524,-834.542,0,72.3169,-1194.71,0,72.5256,-2025.322,0,73.561675,250.664,0,75.3796,3652.07,0,82.7639,-80.9042,0,74.1087,640.519,0,75.7762,-146.495,0,75.5707,4065.1898,0,77.054875,250.664,0,74.6171,3652.07,0,82.2007,-80.9042,0,73.5336,640.519,0,75.2117,-146.495,0,75.0063,4065.1898,0,76.488075,14.44,0,0,23.41,23.09,24.10,25.03,23.68,24.72
1,1,19,8,54,0,0,9637.72,0,65.8408,0,73.2151,-283.546,0,75.9803,-2552.21,0,68.9032,-2398.62,0,70.0448,-2275.13,0,70.775,-7509.506,0,71.425825,246.98,0,74.9138,1120.43,0,79.4888,-1349.89,0,72.8089,-1115.6,0,73.935,-1422.04,0,73.9617,-2767.1,0,75.0486,246.98,0,74.3581,1120.43,0,79.1006,-1349.89,0,72.4102,-1115.6,0,73.5453,-1422.04,0,73.5726,-2767.1,0,74.657175,12.22,0,0,22.90,21.90,23.84,23.92,23.53,23.70
